Cluster,name,capacity,,,,,
Cluster 5,PV_TORCAZAS,3,SOLAR_6,,,,
Cluster 5,PV_TREBO,3,SOLAR_6,,,,
Cluster 5,PV_VALLE_DE_LA_LUNA_2,3,SOLAR_6,,,,
Cluster 5,PV_LA_MANGA_1,3.5,SOLAR_6,,,,
Cluster 5,PV_OCOA_2,3.5,SOLAR_6,,,,
Cluster 5,PV_PMGD_PARANAL,4,SOLAR_6,,,,
Cluster 5,PV_LA_FRONTERA,4.8,SOLAR_6,,,,
Cluster 5,PV_PMGD_ARMAZONES,5,SOLAR_6,,,,
Cluster 5,PV_CONCORDE_(EX_SALAR_DOS),6,SOLAR_6,,,,
Cluster 5,PV_JAHUEL,6,SOLAR_6,,,,
Cluster 5,PV_PANQUEHUE_2,6,SOLAR_6,,,,
Cluster 5,PV_PARQUE_VALPARAISO,6,SOLAR_6,,,,
Cluster 5,PV_PMGD_YAHUTELA,6,SOLAR_6,,,,
Cluster 5,PV_CASABERMEJA,7,SOLAR_6,,,,
Cluster 5,PV_QUILAPILUN_2,7,SOLAR_6,,,,
Cluster 5,PV_CE_SAN_FRANCISCO_V,7.2,SOLAR_6,,,,
Cluster 5,PV_LAUREL,7.5,SOLAR_6,,,,
Cluster 5,PV_DAS,8,SOLAR_6,,,,
Cluster 5,PV_CASTILLA,8.6,SOLAR_6,,,,
Cluster 5,PV_SOL_DEL_NORTE_ANDES,8.6,SOLAR_6,,,,
Cluster 5,PV_ENCON,8.64,SOLAR_6,,,,
Cluster 5,PV_ECLIPSE_SOLAR,8.99,SOLAR_6,,,,
Cluster 5,PV_ANTAY,9,SOLAR_6,,,,
Cluster 5,PV_ASTILLAS,9,SOLAR_6,,,,
Cluster 5,PV_BRAMADA,9,SOLAR_6,,,,
Cluster 5,PV_CACHIYUYO_2,9,SOLAR_6,,,,
Cluster 5,PV_CE_CALDERA,9,SOLAR_6,,,,
Cluster 5,PV_CHACABUCO,9,SOLAR_6,,,,
Cluster 5,PV_CHICAUMA_VERANO,9,SOLAR_6,,,,
Cluster 5,PV_COVADONGA,9,SOLAR_6,,,,
Cluster 5,PV_DEL_DESIERTO,9,SOLAR_6,,,,
Cluster 5,PV_EL_LITRE_2,9,SOLAR_6,,,,
Cluster 5,PV_FUSTER_DEL_VERANO,9,SOLAR_6,,,,
Cluster 5,PV_LLAY_LLAY,9,SOLAR_6,,,,
Cluster 5,PV_LOS_ANDES,9,SOLAR_6,,,,
Cluster 5,PV_MAITENES,9,SOLAR_6,,,,
